[sf_watchdog] started Sun Jul  5 12:32:31 CST 2026 floor=3.0
[sf_watchdog] Sun Jul  5 13:38:40 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 13:40:40 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 13:42:40 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 13:44:41 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 13:46:41 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 13:48:41 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 13:50:41 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 13:52:41 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 13:54:42 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 13:56:42 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 13:58:42 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:00:42 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:02:42 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:04:43 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:06:43 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:08:43 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:10:43 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:12:44 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:14:44 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:16:44 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:18:44 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:20:45 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:22:45 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:24:45 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:26:45 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:28:45 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:30:46 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:32:46 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:34:46 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:36:46 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:38:47 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:40:47 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:42:47 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:44:47 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:46:47 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:48:48 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:50:48 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:52:48 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:54:49 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:56:49 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 14:58:49 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:00:49 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:02:49 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:04:49 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:06:50 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:08:50 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:10:50 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:12:50 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:14:50 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:16:51 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:18:51 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:20:51 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:22:51 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:24:52 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:26:52 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:28:52 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:30:52 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:32:52 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:34:53 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:36:53 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:38:53 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:40:53 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:42:54 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:44:54 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:46:54 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:48:54 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:50:54 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:52:55 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:54:55 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:56:55 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 15:58:55 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:00:55 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:02:56 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:04:56 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:06:56 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:08:56 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:10:57 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:12:57 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:14:57 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:16:57 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:18:57 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:20:58 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:22:58 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:24:58 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:26:58 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:28:59 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:30:59 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:32:59 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:34:59 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:37:00 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:39:00 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:41:00 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:43:00 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:45:00 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:47:01 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:49:01 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:51:01 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:53:01 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:55:02 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:57:02 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 16:59:02 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:01:02 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:03:02 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:05:02 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:07:02 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:09:02 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:11:03 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:13:03 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:15:03 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:17:03 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:19:04 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:21:04 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:23:04 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:25:04 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:27:04 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:29:05 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:31:05 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:33:05 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:35:05 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:37:06 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:39:06 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:41:06 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:43:06 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:45:07 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:47:07 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:49:07 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:51:07 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:53:08 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:55:08 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:57:08 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 17:59:08 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:01:08 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:03:08 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:05:08 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:07:09 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:09:09 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:11:09 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:13:09 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:15:10 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:17:10 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:19:10 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:21:10 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:23:10 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:25:11 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:27:11 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:29:11 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:31:11 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:33:12 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:35:12 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:37:12 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:39:12 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:41:13 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:43:13 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:45:13 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:47:13 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:49:14 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:51:14 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:53:14 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:55:14 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:57:15 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 18:59:16 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:01:16 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:03:30 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:05:36 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:07:36 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:09:37 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:11:37 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:13:37 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:15:37 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:17:38 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:19:38 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:21:38 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:23:38 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:25:39 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:27:39 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:29:39 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:31:39 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:33:40 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:35:40 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:37:40 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:39:40 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:41:40 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:43:41 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:45:41 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:47:41 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:49:41 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:51:42 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:53:42 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:55:42 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:57:42 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 19:59:43 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:01:42 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:03:42 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:05:42 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:07:43 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:09:43 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:11:43 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:13:43 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:15:44 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:17:44 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:19:44 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:21:44 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:23:44 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:25:45 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:27:45 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:29:45 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:31:45 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:33:46 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:35:46 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:37:46 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:39:46 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:41:46 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:43:47 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:45:47 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:47:47 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:49:47 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:51:48 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:53:48 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:55:48 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:57:48 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 20:59:49 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:01:48 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:03:48 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:05:49 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:07:49 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:09:49 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:11:49 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:13:50 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:15:50 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:17:50 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:19:50 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:21:50 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:23:51 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:25:51 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:27:51 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:29:51 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:31:52 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:33:52 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:35:52 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:37:52 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:39:52 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:41:53 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:43:53 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:45:53 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:47:53 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:49:54 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:51:54 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:53:54 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:55:54 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:57:54 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 21:59:55 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:01:54 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:03:55 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:05:55 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:07:55 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:09:55 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:11:56 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:13:56 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:15:56 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:17:56 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:19:57 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:21:57 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:23:57 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:25:57 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:27:58 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:29:58 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:31:58 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:33:58 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:35:58 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:37:59 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:39:59 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:41:59 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:43:59 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:46:00 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:48:00 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:50:00 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:52:00 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:54:01 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:56:01 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 22:58:01 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:00:01 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:02:01 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:04:01 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:06:01 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:08:02 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:10:02 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:12:02 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:14:02 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:16:03 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:18:03 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:20:03 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:22:03 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:24:03 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:26:04 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:28:04 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:30:04 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:32:04 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:34:05 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:36:05 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:38:05 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:40:05 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:42:06 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:44:06 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:46:06 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:48:06 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:50:06 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:52:07 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:54:07 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:56:07 CST 2026 balance=41.9289
[sf_watchdog] Sun Jul  5 23:58:07 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:00:07 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:02:07 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:04:07 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:06:07 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:08:08 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:10:08 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:12:08 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:14:08 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:16:09 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:18:09 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:20:09 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:22:09 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:24:09 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:26:10 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:28:10 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:30:10 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:32:10 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:34:11 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:36:11 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:38:11 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:40:11 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:42:12 CST 2026 balance=41.9289
[sf_watchdog] Mon Jul  6 00:44:12 CST 2026 balance=41.9289
